NOME_FORNECEDOR,CNPJ_FORNECEDOR,EMAIL_FORNECEDOR,TELEFONE_FORNECEDOR,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO,VALOR_TOTAL,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
Bogan-Rice,16811931000100,ablazewicz2q@drupal.org,329-18-0427,,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-06-01
Bogan-Rice,16811931000100,ablazewicz2q@drupal.org,329-18-0427,3533207,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-06-01
Bogisich O'Keefe and Feil,42278473000103,bogissfh.ss@ss.com,742-63-3038,7059987,2023-06-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-06-01
Bogisich O'Keefe and Feil,42278473000103,bogissfh.ss@ss.com,742-63-3038,9823941,2023-06-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-06-01
Bosco  Parker and Heller,33130691000105,wglendinningk@europa.eu,835-83-3066,7501424,2023-06-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-06-01
Bosco  Parker and Heller,33130691000105,wglendinningk@europa.eu,835-83-3066,8768535,2023-06-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-06-01
Bosco  Parker and Heller,33130691000105,wglendinningk@europa.eu,835-83-3066,9391810,2023-06-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-06-01
Botsford Group,14776142000150,dbreakwell2d@unesco.org,286-44-7158,1644143,2023-06-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-06-01
Botsford Group,14776142000150,dbreakwell2d@unesco.org,286-44-7158,3631088,2023-06-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-06-01
Braun Group,84429695000111,mreeson5@github.io,189-25-6515,4889535,2023-06-01,180000,9000,189000,Escalade ESV,1,A vista,12605190,78,,fornecedor,2023-06-01
Carroll Koss,50926955000142,carrol.1234@fds.com,632-63-6534,2555986,2023-06-01,150000,7000,157000,Tacoma,1,A vista,12605200,997,LOTE 92,fornecedor,2023-06-01
Carroll Koss,50926955000142,carrol.1234@fds.com,632-63-6534,5022530,2023-06-01,150000,7000,157000,Tacoma,1,A vista,12605200,997,LOTE 92,fornecedor,2023-06-01
Casper Anderson,67571414000141,rcockman14@twitpic.com,313-34-5254,1406557,2023-06-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,86300000,453,LOTE 41,fornecedor,2023-06-01
Casper Anderson,67571414000141,rcockman14@twitpic.com,313-34-5254,8688288,2023-06-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,12605210,453,LOTE 41,fornecedor,2023-06-01
Cassin Bechtelar,33839910000111,elarwayp@smugmug.com,574-99-2797,,2023-06-01,150000,7000,157000,S10,1,30 dias,12605220,719,LOTE 79,fornecedor,2023-06-01
Cassin Bechtelar,33839910000111,elarwayp@smugmug.com,574-99-2797,7126078,2023-06-01,150000,7000,157000,S10,1,30 dias,12605220,719,LOTE 79,fornecedor,2023-06-01
Collins Hamill,45365558000109,losharkey3@youku.com,324-18-4201,1820034,2023-06-01,150000,7000,157000,Tacoma,1,30 dias,12605230,846,,fornecedor,2023-06-01
Collins Hamill,45365558000109,losharkey3@youku.com,324-18-4201,3799262,2023-06-01,150000,7000,157000,Tacoma,1,30 dias,12605230,846,,fornecedor,2023-06-01
Considine LLC,35313704687274,atoop1t@miitbeian.gov.cn,705-52-5670,5654145,2023-06-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,12345678,1857,,fornecedor,2023-06-01
Considine LLC,35313704687274,atoop1t@miitbeian.gov.cn,705-52-5670,8767516,2023-06-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,12605240,1857,,fornecedor,2023-06-01
Cummings Inc,34274233000102,jkemblev@google.ru,465-72-9051,1351539,2023-06-01,110000,5000,115000,Cooper,1,A vista,12605250,1750,,fornecedor,2023-06-01
Cummings Inc,34274233000102,jkemblev@google.ru,465-72-9051,6631559,2023-06-01,110000,5000,115000,Cooper,1,A vista,12605250,1750,,fornecedor,2023-06-01
Daugherty-Rath,33041260065290,pgrisewood16@house.gov,453-60-6781,2958752,2023-06-01,70000,3000,73000,Azera,1,Entrada/30 dias,12605260,1929,,fornecedor,2023-06-01
Daugherty-Rath,33041260065290,pgrisewood16@house.gov,453-60-6781,5150059,2023-06-01,70000,3000,73000,Azera,1,Entrada/30 dias,12605260,1929,,fornecedor,2023-06-01
Dicki Inc,23373000000132,rtoffoletto1v@apple.com,137-33-0134,3288707,2023-06-01,180000,9000,189000,Escalade ESV,1,30 dias,41300603,1619,,fornecedor,2023-06-01
Dickinson-Heller,33113309000147,dickinson@heller.co,169-04-6450,9391810,2023-06-01,150000,7000,157000,Tacoma,1,A vista,41300606,999,LOTE 64,fornecedor,2023-06-01
Dietrich-Fadel,33592510000154,hbachej@unicef.org,237-23-8621,7504097,2023-06-01,110000,5000,115000,Cooper,1,Entrada/30/60/90 dias,41300690,1249,,fornecedor,2023-06-01
Doyle and DuBuque,60894730000105,rbatch2o@prnewswire.com,429-83-9751,,2023-06-01,70000,3000,73000,Azera,1,30 dias,41300740,1092,,fornecedor,2023-06-01
Ebert Inc,33958695000178,lallans1x@state.gov,778-53-4836,1417134,2023-06-01,180000,9000,189000,Escalade ESV,1,A vista,41300760,655,,fornecedor,2023-06-01
Ebert-Prosacco,90441460000148,bhallad2@parallels.com,682-90-7397,6536277,2023-06-01,150000,7000,157000,Tacoma,1,A vista,41300770,45,LOTE 59,fornecedor,2023-06-01
Franecki LLC,33256439000139,kloudian1d@slate.com,441-81-5537,5192427,2023-06-01,150000,7000,157000,S10,1,30 dias,41300991,436,LOTE 26,fornecedor,2023-06-01
Friesen Group,94813102000170,llydster2m@forbes.com,266-02-9175,4214246,2023-06-01,70000,3000,73000,Azera,1,30 dias,41301005,100,,fornecedor,2023-06-01
Fritsch Renner and Nikolaus,59418806000147,scockinr@foxnews.com,661-90-8387,9714964,2023-06-01,150000,7000,157000,Tacoma,1,30/60 dias,41301010,111,LOTE 42,fornecedor,2023-06-01
Gerhold-Treutel,53113791000122,sputteng@biblegateway.com,573-03-8530,8357686,2023-06-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,41301015,66,LOTE 14,fornecedor,2023-06-01
Gerhold-Treutel,53113791000122,sputteng@biblegateway.com,573-03-8530,8357686,2023-06-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,41301015,66,LOTE 14,fornecedor,2023-06-01
Graham Elder Skyrin,20667932240841,achong1a@wikimedia.org,117-99-5647,9094874,2023-06-01,150000,7000,157000,S10,1,30/60 dias,41301020,860,LOTE 50,fornecedor,2023-06-01
Grimes Bradtke and Bartoletti,15497891306626,apullar2n@addtoany.com,360-06-2664,6900025,2023-06-01,150000,7000,157000,Tacoma,1,30/60 dias,41301025,4898,,fornecedor,2023-06-01
Grimes Inc,47763180991297,gshapcote2i@businessweek.com,401-84-0623,7107368,2023-06-01,110000,5000,115000,Cooper,1,A vista,41301030,58,,fornecedor,2023-06-01
Gutmann LLC,92238109890753,ibrasse1n@cnn.com,289-74-8558,1344795,2023-06-01,70000,3000,73000,Azera,1,Entrada/30 dias,41301035,1403,,fornecedor,2023-06-01
Haley Inc,93538677240948,wdaffernf@mashable.com,669-81-0557,4666427,2023-06-01,110000,5000,115000,Cooper,1,A vista,41301040,884,,fornecedor,2023-06-01
Harvey Bergstrom,15033118388259,twhistano@blogs.com,486-55-6206,4987839,2023-06-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,41301045,531,,fornecedor,2023-06-01
Harvey Mraz,85762116440608,twillman2g@howstuffworks.com,612-34-0166,2764417,2023-06-01,180000,9000,189000,Escalade ESV,1,30/60 dias,41301050,349,LOTE 68,fornecedor,2023-06-01
Hauck-Hackett,96759586124595,hhaddington17@cbc.ca,201-38-1891,4641179,2023-06-01,150000,7000,157000,Tacoma,1,Entrada/30/60/90 dias,41301055,1248,,fornecedor,2023-06-01
